"source_code","sku","status","availability","availability_order","availability_date"
"190","93056","1","2 horas","1","2019-05-28"
"174","81714","1","2 horas","1","2019-05-28"
"204","97895","1","2 horas","1","2019-05-28"
"207","108240","1","2 horas","1","2019-05-28"
"212","104856","1","2 horas","1","2019-05-28"
"220","95950","1","2 horas","1","2019-05-28"
"177","82225","1","2 horas","1","2019-05-28"
"198","97661","1","2 horas","1","2019-05-28"
"213","78468","1","2 horas","1","2019-05-28"
"197","98592","1","2 horas","1","2019-05-28"
"179","97331","1","2 horas","1","2019-05-28"
"207","104853","1","2 horas","1","2019-05-28"
"194","62635","1","2 horas","1","2019-05-28"
"193","97665","1","2 horas","1","2019-05-28"
"202","71846","1","2 horas","1","2019-05-28"
"196","97659","1","2 horas","1","2019-05-28"
"174","108489","1","2 horas","1","2019-05-28"
"186","94194","1","2 horas","1","2019-05-28"
"174","102689","1","2 horas","1","2019-05-28"
"174","82232","1","2 horas","1","2019-05-28"
"172","71844","1","2 horas","1","2019-05-28"
"206","97336","1","2 horas","1","2019-05-28"
"207","97163","1","2 horas","1","2019-05-28"
"207","75854","1","2 horas","1","2019-05-28"
"172","73973","1","2 horas","1","2019-05-28"
"178","72009","1","2 horas","1","2019-05-28"
"212","70824","1","2 horas","1","2019-05-28"
"218","79122","1","2 horas","1","2019-05-28"
"180","108477","1","2 horas","1","2019-05-28"
"194","108477","1","2 horas","1","2019-05-28"
"216","95950","1","2 horas","1","2019-05-28"
"210","98237","1","2 horas","1","2019-05-28"
"196","97334","1","2 horas","1","2019-05-28"
"220","97334","1","2 horas","1","2019-05-28"
"226","97257","1","2 horas","1","2019-05-28"
"216","108097","1","2 horas","1","2019-05-28"
"184","96476","1","2 horas","1","2019-05-28"
"197","108076","1","2 horas","1","2019-05-28"
"203","108076","1","2 horas","1","2019-05-28"
"195","72091","1","2 horas","1","2019-05-28"
"210","99023","1","2 horas","1","2019-05-28"
"193","97187","1","2 horas","1","2019-05-28"
"173","112605","1","2 horas","1","2019-05-28"
"213","62635","1","2 horas","1","2019-05-28"
"187","92282","1","Disponible a partir de fecha determinada","3","2019-05-30"
"211","65125","1","Disponible a partir de fecha determinada","3","2019-05-30"
"192","81473","1","2 horas","1","2019-05-28"
"179","72851","1","2 horas","1","2019-05-28"
"221","73862","1","Disponible a partir de fecha determinada","3","2019-05-30"
"195","98986","1","2 horas","1","2019-05-28"
"191","108493","1","2 horas","1","2019-05-28"
"198","108501","1","2 horas","1","2019-05-28"
"172","97333","1","2 horas","1","2019-05-28"
"198","80826","1","2 horas","1","2019-05-28"
"197","98201","1","2 horas","1","2019-05-28"
"215","72100","1","2 horas","1","2019-05-28"
"190","70572","1","2 horas","1","2019-05-28"
"195","73357","1","2 horas","1","2019-05-28"
"184","94097","1","2 horas","1","2019-05-28"
"210","94923","1","2 horas","1","2019-05-28"
"190","112969","1","2 horas","1","2019-05-28"
"211","82214","1","Disponible a partir de fecha determinada","3","2019-05-30"
"198","108482","1","2 horas","1","2019-05-28"
"178","82169","1","2 horas","1","2019-05-28"
"224","99836","1","2 horas","1","2019-05-28"
"203","63792","1","Disponible a partir de fecha determinada","3","2019-05-30"
"174","71918","1","2 horas","1","2019-05-28"
"185","82219","1","2 horas","1","2019-05-28"
"196","92281","1","2 horas","1","2019-05-28"
"202","98851","1","2 horas","1","2019-05-28"
"210","93721","1","2 horas","1","2019-05-28"
"218","98190","1","2 horas","1","2019-05-28"
"190","77542","1","Disponible a partir de fecha determinada","3","2019-05-30"
"219","99158","1","Disponible a partir de fecha determinada","3","2019-05-30"
"215","64557","1","2 horas","1","2019-05-28"
"204","97363","1","2 horas","1","2019-05-28"
"179","96474","1","2 horas","1","2019-05-28"
"225","97155","1","2 horas","1","2019-05-28"
"215","105805","1","2 horas","1","2019-05-28"
"195","98202","1","2 horas","1","2019-05-28"
"204","92136","1","Disponible a partir de fecha determinada","3","2019-05-30"
"192","108152","1","2 horas","1","2019-05-28"
"205","111653","1","2 horas","1","2019-05-28"
"189","108476","1","2 horas","1","2019-05-28"
"190","95006","1","Disponible a partir de fecha determinada","3","2019-05-30"
"222","105719","1","2 horas","1","2019-05-28"
"204","98201","1","2 horas","1","2019-05-28"
"220","82232","1","2 horas","1","2019-05-28"
"210","111677","1","2 horas","1","2019-05-28"
"198","97163","1","2 horas","1","2019-05-28"
"190","105666","1","2 horas","1","2019-05-28"
"212","104859","1","2 horas","1","2019-05-28"
"218","93275","1","2 horas","1","2019-05-28"
"181","94836","1","2 horas","1","2019-05-28"
"203","97658","1","2 horas","1","2019-05-28"
"216","97658","1","2 horas","1","2019-05-28"
"186","105667","1","Disponible a partir de fecha determinada","3","2019-05-30"
"195","98237","1","2 horas","1","2019-05-28"
"223","62627","1","2 horas","1","2019-05-28"
"190","66948","1","2 horas","1","2019-05-28"
"175","99922","1","Disponible a partir de fecha determinada","3","2019-05-30"
"183","108490","1","2 horas","1","2019-05-28"
"175","105692","1","2 horas","1","2019-05-28"
"195","62635","1","2 horas","1","2019-05-28"
"204","99756","1","2 horas","1","2019-05-28"
"186","111674","1","2 horas","1","2019-05-28"
"209","97665","1","2 horas","1","2019-05-28"
"194","62632","1","2 horas","1","2019-05-28"
"177","71846","1","2 horas","1","2019-05-28"
"204","98202","1","2 horas","1","2019-05-28"
"180","99972","1","2 horas","1","2019-05-28"
"186","99150","1","2 horas","1","2019-05-28"
"214","98236","1","2 horas","1","2019-05-28"
"199","108489","1","2 horas","1","2019-05-28"
"215","95499","1","2 horas","1","2019-05-28"
"216","96475","1","2 horas","1","2019-05-28"
"218","97128","1","2 horas","1","2019-05-28"
"213","97336","1","2 horas","1","2019-05-28"
"210","82169","1","2 horas","1","2019-05-28"
"212","108497","1","2 horas","1","2019-05-28"
"214","94838","1","2 horas","1","2019-05-28"
"184","82225","1","2 horas","1","2019-05-28"
"179","97334","1","2 horas","1","2019-05-28"
"223","97335","1","2 horas","1","2019-05-28"
"172","98192","1","2 horas","1","2019-05-28"
"175","97146","1","2 horas","1","2019-05-28"
"179","97660","1","2 horas","1","2019-05-28"
"204","98840","1","Disponible a partir de fecha determinada","3","2019-05-30"
"224","64502","1","2 horas","1","2019-05-28"
"201","94833","1","2 horas","1","2019-05-28"
"190","99443","1","2 horas","1","2019-05-28"
"191","97817","1","2 horas","1","2019-05-28"
"211","100042","1","Disponible a partir de fecha determinada","3","2019-05-30"
"207","104858","1","2 horas","1","2019-05-28"
"187","81578","1","2 horas","1","2019-05-28"
"190","72117","1","2 horas","1","2019-05-28"
"201","94831","1","2 horas","1","2019-05-28"
"184","99089","1","2 horas","1","2019-05-28"
